Entity,Category,System,Suggested_Query,Recommended_Filters,Red_Flag_Terms,Next_Step
Sandia National Laboratories,DOE/NNSA FFRDC,FRPP (Real Property),"""Sandia National Laboratories"" OR site/campus name in FRPP; compare YOY adds/removals/status/mission use",YOY property deltas,mission use; status change; new facility,Capture docket/permit IDs; link to PIIDs if visible
Sandia National Laboratories,DOE/NNSA FFRDC,PHMSA Approvals/Special Permits,"""Sandia National Laboratories"" AND (""Special Permit"" OR ""Type A"" OR ""Type B(U)"" OR UN 2915 OR UN 2916) site:phmsa.dot.gov",Shipments/packaging,Type A/B(U); UN 2915; UN 2916,Capture docket/permit IDs; link to PIIDs if visible
Sandia National Laboratories,DOE/NNSA FFRDC,Regents/Trustees Agendas,"""Sandia National Laboratories"" AND (radiological OR ""hot cell"" OR glovebox OR ""shielded window"" OR ""lead-lined"" OR ""Class 7 door"" OR ""neutron shielding"" OR ""borated polyethylene"")",Board approvals,radiological lab reno; shielding,Capture docket/permit IDs; link to PIIDs if visible
Sandia National Laboratories,DOE/NNSA FFRDC,City/County Permits,"""Sandia National Laboratories"" AND (building permit OR radiation OR SCIF OR SAPF OR classified) site:.gov",Permit portals,SCIF/SAPF construction; radiation work areas,Capture docket/permit IDs; link to PIIDs if visible
Los Alamos National Laboratory,DOE/NNSA FFRDC,SAM.gov (Awards & Attachments),"(""special tooling"" OR ""special test equipment"" OR GFP OR 52.245-1 OR ""DD Form 254"" OR DoDM 5205.07 OR JSIG OR ""ICS 705"" OR SAPF OR SCIF) AND ""Los Alamos National Laboratory""",FY2010–present; Award→Attchs; Data Bank export,GFP; FAR 52.245-1; IUID/UID; DFARS 252.211-7003; Novation/Change-of-Name FAR 42.12/42.1204; DD 254; DoDM 5205.07; ICS/ICD 705; JSIG; SAPF/SCIF; J&A FAR 6.3; D&F FAR 1.7; UEI/DUNS/CAGE crosswalk,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Los Alamos National Laboratory,DOE/NNSA FFRDC,USAspending (Award → Mod History),"Awardee = ""Los Alamos National Laboratory"" (or filter by PIID/IDV) → review Mod Reason/Narrative for GFP/IUID/Novation; export modification history",FY2010–present; bind around M&A/org churn,GFP; FAR 52.245-1; IUID/UID; DFARS 252.211-7003; Novation/Change-of-Name FAR 42.12/42.1204; DD 254; DoDM 5205.07; ICS/ICD 705; JSIG; SAPF/SCIF; J&A FAR 6.3; D&F FAR 1.7; UEI/DUNS/CAGE crosswalk,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Los Alamos National Laboratory,DOE/NNSA FFRDC,FPDS (legacy ezSearch),"""Los Alamos National Laboratory"" in ezSearch; inspect PIID/IDV structure; pull SF-30 mod list and clause text",Legacy → clause text & SF-30 mod list,GFP; FAR 52.245-1; IUID/UID; DFARS 252.211-7003; Novation/Change-of-Name FAR 42.12/42.1204; DD 254; DoDM 5205.07; ICS/ICD 705; JSIG; SAPF/SCIF; J&A FAR 6.3; D&F FAR 1.7; UEI/DUNS/CAGE crosswalk,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Los Alamos National Laboratory,DOE/NNSA FFRDC,GAO Bid Protests,"""Los Alamos National Laboratory"" AND (protest OR sustain OR deny)",Pull docket → crosswalk PIID & J&A logic,J&A; timeline anchors; evaluation factors,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Los Alamos National Laboratory,DOE/NNSA FFRDC,SEC EDGAR (8-K/10-K/Exhibits),"""Los Alamos National Laboratory"" AND (acquisition OR asset transfer OR novation OR government OR ""U.S. government"")",M&A windows ±180 days,novation schedules; segment moves; facility notes,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Los Alamos National Laboratory,DOE/NNSA FFRDC,Delaware SOS (Entity Search),"""Los Alamos National Laboratory""",Around mod clusters / novations,conversions; mergers; name changes,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Los Alamos National Laboratory,DOE/NNSA FFRDC,IRS 990 (if applicable),"""Los Alamos National Laboratory"" site:irs.gov OR site:propublica.org",Universities/foundations only,program service revenue; related orgs,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Los Alamos National Laboratory,DOE/NNSA FFRDC,Jobs Telemetry,"""Los Alamos National Laboratory"" AND (""TS/SCI"" OR polygraph OR SAPF OR SCIF OR GEOINT OR ""SE&I"") site:clearancejobs.com OR site:linkedin.com OR site:workdayjobs.com",Last 5–7 yrs,TS/SCI poly; SAPF build-outs; GEOINT SE&I spikes,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Los Alamos National Laboratory,DOE/NNSA FFRDC,NRC ADAMS,"""Los Alamos National Laboratory"" OR site address; filter Part 71, Type B(U), sealed source, license scope changes, temp jobsite approvals",Licenses/Part 71/shipments,sealed source; Type B(U); temp jobsite approvals,Capture docket/permit IDs; link to PIIDs if visible
Los Alamos National Laboratory,DOE/NNSA FFRDC,DOE OpenNet,"""Los Alamos National Laboratory"" OR site/campus name; filter for unclassified tech reports with relevant keywords",Unclass tech reports,glovebox; hot cell; shielding materials,Capture docket/permit IDs; link to PIIDs if visible
Los Alamos National Laboratory,DOE/NNSA FFRDC,FRPP (Real Property),"""Los Alamos National Laboratory"" OR site/campus name in FRPP; compare YOY adds/removals/status/mission use",YOY property deltas,mission use; status change; new facility,Capture docket/permit IDs; link to PIIDs if visible
Los Alamos National Laboratory,DOE/NNSA FFRDC,PHMSA Approvals/Special Permits,"""Los Alamos National Laboratory"" AND (""Special Permit"" OR ""Type A"" OR ""Type B(U)"" OR UN 2915 OR UN 2916) site:phmsa.dot.gov",Shipments/packaging,Type A/B(U); UN 2915; UN 2916,Capture docket/permit IDs; link to PIIDs if visible
Los Alamos National Laboratory,DOE/NNSA FFRDC,Regents/Trustees Agendas,"""Los Alamos National Laboratory"" AND (radiological OR ""hot cell"" OR glovebox OR ""shielded window"" OR ""lead-lined"" OR ""Class 7 door"" OR ""neutron shielding"" OR ""borated polyethylene"")",Board approvals,radiological lab reno; shielding,Capture docket/permit IDs; link to PIIDs if visible
Los Alamos National Laboratory,DOE/NNSA FFRDC,City/County Permits,"""Los Alamos National Laboratory"" AND (building permit OR radiation OR SCIF OR SAPF OR classified) site:.gov",Permit portals,SCIF/SAPF construction; radiation work areas,Capture docket/permit IDs; link to PIIDs if visible
Lawrence Livermore National Laboratory,DOE/NNSA FFRDC,SAM.gov (Awards & Attachments),"(""special tooling"" OR ""special test equipment"" OR GFP OR 52.245-1 OR ""DD Form 254"" OR DoDM 5205.07 OR JSIG OR ""ICS 705"" OR SAPF OR SCIF) AND ""Lawrence Livermore National Laboratory""",FY2010–present; Award→Attchs; Data Bank export,GFP; FAR 52.245-1; IUID/UID; DFARS 252.211-7003; Novation/Change-of-Name FAR 42.12/42.1204; DD 254; DoDM 5205.07; ICS/ICD 705; JSIG; SAPF/SCIF; J&A FAR 6.3; D&F FAR 1.7; UEI/DUNS/CAGE crosswalk,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Lawrence Livermore National Laboratory,DOE/NNSA FFRDC,USAspending (Award → Mod History),"Awardee = ""Lawrence Livermore National Laboratory"" (or filter by PIID/IDV) → review Mod Reason/Narrative for GFP/IUID/Novation; export modification history",FY2010–present; bind around M&A/org churn,GFP; FAR 52.245-1; IUID/UID; DFARS 252.211-7003; Novation/Change-of-Name FAR 42.12/42.1204; DD 254; DoDM 5205.07; ICS/ICD 705; JSIG; SAPF/SCIF; J&A FAR 6.3; D&F FAR 1.7; UEI/DUNS/CAGE crosswalk,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Lawrence Livermore National Laboratory,DOE/NNSA FFRDC,FPDS (legacy ezSearch),"""Lawrence Livermore National Laboratory"" in ezSearch; inspect PIID/IDV structure; pull SF-30 mod list and clause text",Legacy → clause text & SF-30 mod list,GFP; FAR 52.245-1; IUID/UID; DFARS 252.211-7003; Novation/Change-of-Name FAR 42.12/42.1204; DD 254; DoDM 5205.07; ICS/ICD 705; JSIG; SAPF/SCIF; J&A FAR 6.3; D&F FAR 1.7; UEI/DUNS/CAGE crosswalk,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Lawrence Livermore National Laboratory,DOE/NNSA FFRDC,GAO Bid Protests,"""Lawrence Livermore National Laboratory"" AND (protest OR sustain OR deny)",Pull docket → crosswalk PIID & J&A logic,J&A; timeline anchors; evaluation factors,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Lawrence Livermore National Laboratory,DOE/NNSA FFRDC,SEC EDGAR (8-K/10-K/Exhibits),"""Lawrence Livermore National Laboratory"" AND (acquisition OR asset transfer OR novation OR government OR ""U.S. government"")",M&A windows ±180 days,novation schedules; segment moves; facility notes,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Lawrence Livermore National Laboratory,DOE/NNSA FFRDC,Delaware SOS (Entity Search),"""Lawrence Livermore National Laboratory""",Around mod clusters / novations,conversions; mergers; name changes,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Lawrence Livermore National Laboratory,DOE/NNSA FFRDC,IRS 990 (if applicable),"""Lawrence Livermore National Laboratory"" site:irs.gov OR site:propublica.org",Universities/foundations only,program service revenue; related orgs,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Lawrence Livermore National Laboratory,DOE/NNSA FFRDC,Jobs Telemetry,"""Lawrence Livermore National Laboratory"" AND (""TS/SCI"" OR polygraph OR SAPF OR SCIF OR GEOINT OR ""SE&I"") site:clearancejobs.com OR site:linkedin.com OR site:workdayjobs.com",Last 5–7 yrs,TS/SCI poly; SAPF build-outs; GEOINT SE&I spikes,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Lawrence Livermore National Laboratory,DOE/NNSA FFRDC,NRC ADAMS,"""Lawrence Livermore National Laboratory"" OR site address; filter Part 71, Type B(U), sealed source, license scope changes, temp jobsite approvals",Licenses/Part 71/shipments,sealed source; Type B(U); temp jobsite approvals,Capture docket/permit IDs; link to PIIDs if visible
Lawrence Livermore National Laboratory,DOE/NNSA FFRDC,DOE OpenNet,"""Lawrence Livermore National Laboratory"" OR site/campus name; filter for unclassified tech reports with relevant keywords",Unclass tech reports,glovebox; hot cell; shielding materials,Capture docket/permit IDs; link to PIIDs if visible
Lawrence Livermore National Laboratory,DOE/NNSA FFRDC,FRPP (Real Property),"""Lawrence Livermore National Laboratory"" OR site/campus name in FRPP; compare YOY adds/removals/status/mission use",YOY property deltas,mission use; status change; new facility,Capture docket/permit IDs; link to PIIDs if visible
Lawrence Livermore National Laboratory,DOE/NNSA FFRDC,PHMSA Approvals/Special Permits,"""Lawrence Livermore National Laboratory"" AND (""Special Permit"" OR ""Type A"" OR ""Type B(U)"" OR UN 2915 OR UN 2916) site:phmsa.dot.gov",Shipments/packaging,Type A/B(U); UN 2915; UN 2916,Capture docket/permit IDs; link to PIIDs if visible
Lawrence Livermore National Laboratory,DOE/NNSA FFRDC,Regents/Trustees Agendas,"""Lawrence Livermore National Laboratory"" AND (radiological OR ""hot cell"" OR glovebox OR ""shielded window"" OR ""lead-lined"" OR ""Class 7 door"" OR ""neutron shielding"" OR ""borated polyethylene"")",Board approvals,radiological lab reno; shielding,Capture docket/permit IDs; link to PIIDs if visible
Lawrence Livermore National Laboratory,DOE/NNSA FFRDC,City/County Permits,"""Lawrence Livermore National Laboratory"" AND (building permit OR radiation OR SCIF OR SAPF OR classified) site:.gov",Permit portals,SCIF/SAPF construction; radiation work areas,Capture docket/permit IDs; link to PIIDs if visible
Oak Ridge National Laboratory,DOE/NNSA FFRDC,SAM.gov (Awards & Attachments),"(""special tooling"" OR ""special test equipment"" OR GFP OR 52.245-1 OR ""DD Form 254"" OR DoDM 5205.07 OR JSIG OR ""ICS 705"" OR SAPF OR SCIF) AND ""Oak Ridge National Laboratory""",FY2010–present; Award→Attchs; Data Bank export,GFP; FAR 52.245-1; IUID/UID; DFARS 252.211-7003; Novation/Change-of-Name FAR 42.12/42.1204; DD 254; DoDM 5205.07; ICS/ICD 705; JSIG; SAPF/SCIF; J&A FAR 6.3; D&F FAR 1.7; UEI/DUNS/CAGE crosswalk,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Oak Ridge National Laboratory,DOE/NNSA FFRDC,USAspending (Award → Mod History),"Awardee = ""Oak Ridge National Laboratory"" (or filter by PIID/IDV) → review Mod Reason/Narrative for GFP/IUID/Novation; export modification history",FY2010–present; bind around M&A/org churn,GFP; FAR 52.245-1; IUID/UID; DFARS 252.211-7003; Novation/Change-of-Name FAR 42.12/42.1204; DD 254; DoDM 5205.07; ICS/ICD 705; JSIG; SAPF/SCIF; J&A FAR 6.3; D&F FAR 1.7; UEI/DUNS/CAGE crosswalk,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Oak Ridge National Laboratory,DOE/NNSA FFRDC,FPDS (legacy ezSearch),"""Oak Ridge National Laboratory"" in ezSearch; inspect PIID/IDV structure; pull SF-30 mod list and clause text",Legacy → clause text & SF-30 mod list,GFP; FAR 52.245-1; IUID/UID; DFARS 252.211-7003; Novation/Change-of-Name FAR 42.12/42.1204; DD 254; DoDM 5205.07; ICS/ICD 705; JSIG; SAPF/SCIF; J&A FAR 6.3; D&F FAR 1.7; UEI/DUNS/CAGE crosswalk,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Oak Ridge National Laboratory,DOE/NNSA FFRDC,GAO Bid Protests,"""Oak Ridge National Laboratory"" AND (protest OR sustain OR deny)",Pull docket → crosswalk PIID & J&A logic,J&A; timeline anchors; evaluation factors,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Oak Ridge National Laboratory,DOE/NNSA FFRDC,SEC EDGAR (8-K/10-K/Exhibits),"""Oak Ridge National Laboratory"" AND (acquisition OR asset transfer OR novation OR government OR ""U.S. government"")",M&A windows ±180 days,novation schedules; segment moves; facility notes,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Oak Ridge National Laboratory,DOE/NNSA FFRDC,Delaware SOS (Entity Search),"""Oak Ridge National Laboratory""",Around mod clusters / novations,conversions; mergers; name changes,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Oak Ridge National Laboratory,DOE/NNSA FFRDC,IRS 990 (if applicable),"""Oak Ridge National Laboratory"" site:irs.gov OR site:propublica.org",Universities/foundations only,program service revenue; related orgs,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Oak Ridge National Laboratory,DOE/NNSA FFRDC,Jobs Telemetry,"""Oak Ridge National Laboratory"" AND (""TS/SCI"" OR polygraph OR SAPF OR SCIF OR GEOINT OR ""SE&I"") site:clearancejobs.com OR site:linkedin.com OR site:workdayjobs.com",Last 5–7 yrs,TS/SCI poly; SAPF build-outs; GEOINT SE&I spikes,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Oak Ridge National Laboratory,DOE/NNSA FFRDC,NRC ADAMS,"""Oak Ridge National Laboratory"" OR site address; filter Part 71, Type B(U), sealed source, license scope changes, temp jobsite approvals",Licenses/Part 71/shipments,sealed source; Type B(U); temp jobsite approvals,Capture docket/permit IDs; link to PIIDs if visible
Oak Ridge National Laboratory,DOE/NNSA FFRDC,DOE OpenNet,"""Oak Ridge National Laboratory"" OR site/campus name; filter for unclassified tech reports with relevant keywords",Unclass tech reports,glovebox; hot cell; shielding materials,Capture docket/permit IDs; link to PIIDs if visible
Oak Ridge National Laboratory,DOE/NNSA FFRDC,FRPP (Real Property),"""Oak Ridge National Laboratory"" OR site/campus name in FRPP; compare YOY adds/removals/status/mission use",YOY property deltas,mission use; status change; new facility,Capture docket/permit IDs; link to PIIDs if visible
Oak Ridge National Laboratory,DOE/NNSA FFRDC,PHMSA Approvals/Special Permits,"""Oak Ridge National Laboratory"" AND (""Special Permit"" OR ""Type A"" OR ""Type B(U)"" OR UN 2915 OR UN 2916) site:phmsa.dot.gov",Shipments/packaging,Type A/B(U); UN 2915; UN 2916,Capture docket/permit IDs; link to PIIDs if visible
Oak Ridge National Laboratory,DOE/NNSA FFRDC,Regents/Trustees Agendas,"""Oak Ridge National Laboratory"" AND (radiological OR ""hot cell"" OR glovebox OR ""shielded window"" OR ""lead-lined"" OR ""Class 7 door"" OR ""neutron shielding"" OR ""borated polyethylene"")",Board approvals,radiological lab reno; shielding,Capture docket/permit IDs; link to PIIDs if visible
Oak Ridge National Laboratory,DOE/NNSA FFRDC,City/County Permits,"""Oak Ridge National Laboratory"" AND (building permit OR radiation OR SCIF OR SAPF OR classified) site:.gov",Permit portals,SCIF/SAPF construction; radiation work areas,Capture docket/permit IDs; link to PIIDs if visible
Idaho National Laboratory,DOE/NNSA FFRDC,SAM.gov (Awards & Attachments),"(""special tooling"" OR ""special test equipment"" OR GFP OR 52.245-1 OR ""DD Form 254"" OR DoDM 5205.07 OR JSIG OR ""ICS 705"" OR SAPF OR SCIF) AND ""Idaho National Laboratory""",FY2010–present; Award→Attchs; Data Bank export,GFP; FAR 52.245-1; IUID/UID; DFARS 252.211-7003; Novation/Change-of-Name FAR 42.12/42.1204; DD 254; DoDM 5205.07; ICS/ICD 705; JSIG; SAPF/SCIF; J&A FAR 6.3; D&F FAR 1.7; UEI/DUNS/CAGE crosswalk,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Idaho National Laboratory,DOE/NNSA FFRDC,USAspending (Award → Mod History),"Awardee = ""Idaho National Laboratory"" (or filter by PIID/IDV) → review Mod Reason/Narrative for GFP/IUID/Novation; export modification history",FY2010–present; bind around M&A/org churn,GFP; FAR 52.245-1; IUID/UID; DFARS 252.211-7003; Novation/Change-of-Name FAR 42.12/42.1204; DD 254; DoDM 5205.07; ICS/ICD 705; JSIG; SAPF/SCIF; J&A FAR 6.3; D&F FAR 1.7; UEI/DUNS/CAGE crosswalk,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Idaho National Laboratory,DOE/NNSA FFRDC,FPDS (legacy ezSearch),"""Idaho National Laboratory"" in ezSearch; inspect PIID/IDV structure; pull SF-30 mod list and clause text",Legacy → clause text & SF-30 mod list,GFP; FAR 52.245-1; IUID/UID; DFARS 252.211-7003; Novation/Change-of-Name FAR 42.12/42.1204; DD 254; DoDM 5205.07; ICS/ICD 705; JSIG; SAPF/SCIF; J&A FAR 6.3; D&F FAR 1.7; UEI/DUNS/CAGE crosswalk,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Idaho National Laboratory,DOE/NNSA FFRDC,GAO Bid Protests,"""Idaho National Laboratory"" AND (protest OR sustain OR deny)",Pull docket → crosswalk PIID & J&A logic,J&A; timeline anchors; evaluation factors,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Idaho National Laboratory,DOE/NNSA FFRDC,SEC EDGAR (8-K/10-K/Exhibits),"""Idaho National Laboratory"" AND (acquisition OR asset transfer OR novation OR government OR ""U.S. government"")",M&A windows ±180 days,novation schedules; segment moves; facility notes,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Idaho National Laboratory,DOE/NNSA FFRDC,Delaware SOS (Entity Search),"""Idaho National Laboratory""",Around mod clusters / novations,conversions; mergers; name changes,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Idaho National Laboratory,DOE/NNSA FFRDC,IRS 990 (if applicable),"""Idaho National Laboratory"" site:irs.gov OR site:propublica.org",Universities/foundations only,program service revenue; related orgs,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Idaho National Laboratory,DOE/NNSA FFRDC,Jobs Telemetry,"""Idaho National Laboratory"" AND (""TS/SCI"" OR polygraph OR SAPF OR SCIF OR GEOINT OR ""SE&I"") site:clearancejobs.com OR site:linkedin.com OR site:workdayjobs.com",Last 5–7 yrs,TS/SCI poly; SAPF build-outs; GEOINT SE&I spikes,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Idaho National Laboratory,DOE/NNSA FFRDC,NRC ADAMS,"""Idaho National Laboratory"" OR site address; filter Part 71, Type B(U), sealed source, license scope changes, temp jobsite approvals",Licenses/Part 71/shipments,sealed source; Type B(U); temp jobsite approvals,Capture docket/permit IDs; link to PIIDs if visible
Idaho National Laboratory,DOE/NNSA FFRDC,DOE OpenNet,"""Idaho National Laboratory"" OR site/campus name; filter for unclassified tech reports with relevant keywords",Unclass tech reports,glovebox; hot cell; shielding materials,Capture docket/permit IDs; link to PIIDs if visible
Idaho National Laboratory,DOE/NNSA FFRDC,FRPP (Real Property),"""Idaho National Laboratory"" OR site/campus name in FRPP; compare YOY adds/removals/status/mission use",YOY property deltas,mission use; status change; new facility,Capture docket/permit IDs; link to PIIDs if visible
Idaho National Laboratory,DOE/NNSA FFRDC,PHMSA Approvals/Special Permits,"""Idaho National Laboratory"" AND (""Special Permit"" OR ""Type A"" OR ""Type B(U)"" OR UN 2915 OR UN 2916) site:phmsa.dot.gov",Shipments/packaging,Type A/B(U); UN 2915; UN 2916,Capture docket/permit IDs; link to PIIDs if visible
Idaho National Laboratory,DOE/NNSA FFRDC,Regents/Trustees Agendas,"""Idaho National Laboratory"" AND (radiological OR ""hot cell"" OR glovebox OR ""shielded window"" OR ""lead-lined"" OR ""Class 7 door"" OR ""neutron shielding"" OR ""borated polyethylene"")",Board approvals,radiological lab reno; shielding,Capture docket/permit IDs; link to PIIDs if visible
Idaho National Laboratory,DOE/NNSA FFRDC,City/County Permits,"""Idaho National Laboratory"" AND (building permit OR radiation OR SCIF OR SAPF OR classified) site:.gov",Permit portals,SCIF/SAPF construction; radiation work areas,Capture docket/permit IDs; link to PIIDs if visible
Argonne National Laboratory,DOE/NNSA FFRDC,SAM.gov (Awards & Attachments),"(""special tooling"" OR ""special test equipment"" OR GFP OR 52.245-1 OR ""DD Form 254"" OR DoDM 5205.07 OR JSIG OR ""ICS 705"" OR SAPF OR SCIF) AND ""Argonne National Laboratory""",FY2010–present; Award→Attchs; Data Bank export,GFP; FAR 52.245-1; IUID/UID; DFARS 252.211-7003; Novation/Change-of-Name FAR 42.12/42.1204; DD 254; DoDM 5205.07; ICS/ICD 705; JSIG; SAPF/SCIF; J&A FAR 6.3; D&F FAR 1.7; UEI/DUNS/CAGE crosswalk,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Argonne National Laboratory,DOE/NNSA FFRDC,USAspending (Award → Mod History),"Awardee = ""Argonne National Laboratory"" (or filter by PIID/IDV) → review Mod Reason/Narrative for GFP/IUID/Novation; export modification history",FY2010–present; bind around M&A/org churn,GFP; FAR 52.245-1; IUID/UID; DFARS 252.211-7003; Novation/Change-of-Name FAR 42.12/42.1204; DD 254; DoDM 5205.07; ICS/ICD 705; JSIG; SAPF/SCIF; J&A FAR 6.3; D&F FAR 1.7; UEI/DUNS/CAGE crosswalk,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Argonne National Laboratory,DOE/NNSA FFRDC,FPDS (legacy ezSearch),"""Argonne National Laboratory"" in ezSearch; inspect PIID/IDV structure; pull SF-30 mod list and clause text",Legacy → clause text & SF-30 mod list,GFP; FAR 52.245-1; IUID/UID; DFARS 252.211-7003; Novation/Change-of-Name FAR 42.12/42.1204; DD 254; DoDM 5205.07; ICS/ICD 705; JSIG; SAPF/SCIF; J&A FAR 6.3; D&F FAR 1.7; UEI/DUNS/CAGE crosswalk,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Argonne National Laboratory,DOE/NNSA FFRDC,GAO Bid Protests,"""Argonne National Laboratory"" AND (protest OR sustain OR deny)",Pull docket → crosswalk PIID & J&A logic,J&A; timeline anchors; evaluation factors,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Argonne National Laboratory,DOE/NNSA FFRDC,SEC EDGAR (8-K/10-K/Exhibits),"""Argonne National Laboratory"" AND (acquisition OR asset transfer OR novation OR government OR ""U.S. government"")",M&A windows ±180 days,novation schedules; segment moves; facility notes,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Argonne National Laboratory,DOE/NNSA FFRDC,Delaware SOS (Entity Search),"""Argonne National Laboratory""",Around mod clusters / novations,conversions; mergers; name changes,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
