source,target,label,notes
Donald Kerr,EG&G,President and Director,"President and Director of EG&G (1989-1992). Verified: GovInfo.gov, Wikipedia"
Paul Kaminsky,OUSD,Director,"Director of OUSD, permanent SAPO oversight committee member"
Paul Kaminsky,MITER Corporation,Board Member,Board of trustee for MITER
Glenn Gaffney,CIA DS&T,Director,"Director of Science and Technology at CIA. Also served as Deputy Director of National Intelligence for Collection. Reports suggest Gaffney may have blocked Kona Blue material transfer (unverified/contested). Verified: NobleReach Foundation, LittleSis, Liberation Times"
Sean Kirkpatrick,AARO,Director,"Former AARO director, turned coat and ran to Oak Ridge"
Sean Kirkpatrick,Oak Ridge National Laboratory,Chief Technology Officer,"CTO for Defense and Intelligence Programs (December 2023 - present). Verified: Wikipedia, Oak Ridge National Laboratory"
NRO,Program B,Operated,NRO Program B was consolidation of reconnaissance activities
AFSWP,DITRA,Evolved Into,Armed Forces Special Weapons Project became Defense Threat Reduction Agency
Sandia Base,AFSWP,Established At,AFSWP established 1947 at Sandia Base
Los Alamos,Sandia Base,Z Division,Los Alamos Z division established operations at Sandia Base
Donald Kerr,MITER Corporation,Board Chairman,"Chairman of MITRE Board of Trustees (2018-2021), Trustee (2009-2018). Verified: Wikipedia, MITRE Corporation"
