entity_id,display_name,normalized_name,entity_type,description,aliases,source
uapgerb_los_alamos_national_laboratory,Los Alamos National Laboratory,Los Alamos,Research Institution,"Los Alamos National Laboratory - DOE NNSA National Lab, Z division","Los Alamos, LANL",UAPGerb Transcript 2025
uapgerb_y12_national_security_complex,Y12 National Security Complex,Y12,Facility,"Y12 National Security Complex - houses Oak Ridge National Laboratory, alleged UFO legacy program for craft skin analysis","Y12, Y12 Complex",UAPGerb Transcript 2025
uapgerb_institute_for_defense_analyses,Institute for Defense Analyses,IDA,Research Institution,"Institute for Defense Analyses - FFRDC, Harold Malmgren worked there as cover for NSC","IDA, Institute for Defense Analyses",UAPGerb Transcript 2025
uapgerb_aerospace_corporation,Aerospace Corporation,Aerospace Corporation,Research Institution,Aerospace Corporation - FFRDC established 1959-1960,Aerospace Corporation,UAPGerb Transcript 2025
uapgerb_lockheed_martin,Lockheed Martin,Lockheed Martin,Corporation,"Lockheed Martin - defense industrial base prime contractor, Kona Blue program involvement","Lockheed Martin, Lockheed",UAPGerb Transcript 2025
uapgerb_northrop_grumman,Northrop Grumman,Northrop Grumman,Corporation,"Northrop Grumman - defense industrial base prime contractor, acquired BDM, TRW, Teledyne Ryan","Northrop Grumman, Northrop",UAPGerb Transcript 2025
uapgerb_raytheon,Raytheon,Raytheon,Corporation,"Raytheon - defense contractor, especially with US Army",Raytheon,UAPGerb Transcript 2025
uapgerb_eg_g,EG&G,EG&G,Corporation,"EG&G - now part of Amentum, hired Bob Lazar, alleged to house craft at Area 51 adjacent sites","EG&G, EG&NG, Amentum",UAPGerb Transcript 2025
uapgerb_bigelow_aerospace_advanced_space_studies,Bigelow Aerospace Advanced Space Studies,BAASS,Corporation,Bigelow Aerospace Advanced Space Studies - Kona Blue program participant,"BAASS, Bigelow Aerospace",UAPGerb Transcript 2025
uapgerb_immaculate_constellation,Immaculate Constellation,Immaculate Constellation,Program,"USAP program began 2017, utilized US intelligence platforms to monitor non-human craft and ARVs","Immaculate Constellation, IM Con",UAPGerb Transcript 2025
uapgerb_kona_blue,Kona Blue,Kona Blue,Program,Failed prospective special access program (2010) - DHS sponsored USAP for Lockheed Martin to divulge craft materials,Kona Blue,UAPGerb Transcript 2025
uapgerb_project_preserve_destiny,Project Preserve Destiny,Project Preserve Destiny,Program,"NSA program involving telepathic downloads, Dan Sherman testimony",Project Preserve Destiny,UAPGerb Transcript 2025
uapgerb_project_looking_glass,Project Looking Glass,Project Looking Glass,Program,"Manipulation of timelines, mentioned in Bob Lazar briefing","Project Looking Glass, Looking Glass",UAPGerb Transcript 2025
uapgerb_project_twinkle,Project Twinkle,Project Twinkle,Program,Sandia-based Z division investigation into green fireballs over New Mexico (1949-1951),Project Twinkle,UAPGerb Transcript 2025
uapgerb_advanced_theoretical_physics_working_group,Advanced Theoretical Physics Working Group,Advanced Theoretical Physics Working Group,Program,Physics group held at BDM International in 1985 at their MLAN facility,"Advanced Theoretical Physics Working Group, ATPWG",UAPGerb Transcript 2025
uapgerb_area_51,Area 51,Area 51,Facility,"Groom Lake, Nevada - classified test location, houses S4, alleged UFO testing and storage","Area 51, Groom Lake",UAPGerb Transcript 2025
uapgerb_s4,S4,S4,Facility,"Area 51 adjacent site, Papoose Lake, alleged craft storage facility","S4, Papoose Lake",UAPGerb Transcript 2025
uapgerb_nevada_test_and_training_range,Nevada Test and Training Range,NTR,Facility,"Major range and test facility base, houses Area 51, Tonopah Test Range, numbered areas","NTR, Nevada Test and Training Range",UAPGerb Transcript 2025
uapgerb_tonopah_test_range,Tonopah Test Range,TTR,Facility,"Also known as Area 52, managed by Sandia, DOE experimental weapons testing range","TTR, Tonopah Test Range, Area 52",UAPGerb Transcript 2025
uapgerb_edwards_air_force_base,Edwards Air Force Base,Edwards AFB,Facility,"Edwards 412 Test Wing - major range and test facility base, operates manned flights at Area 51, ARV testing","Edwards AFB, Edwards, Edwards 412 Test Wing",UAPGerb Transcript 2025
uapgerb_dugway_proving_ground,Dugway Proving Ground,Dugway,Facility,"Utah test range, houses Utah Test and Training Range and West Desert Test Center, alleged biologics storage","Dugway, Dugway Proving Ground, Area 52",UAPGerb Transcript 2025
uapgerb_wright_patterson_air_force_base,Wright-Patterson Air Force Base,Wright-Patterson AFB,Facility,Alleged historical storage of Roswell materials and biologics,"Wright-Patterson, Wright-Patterson AFB, Wright Field",UAPGerb Transcript 2025
uapgerb_pine_gap,Pine Gap,Pine Gap,Facility,"Australia - NRO Program B ground element, Australia's Area 51","Pine Gap, Pine Gap Australia",UAPGerb Transcript 2025
uapgerb_fort_detrick,Fort Detrick,Fort Detrick,Facility,"Maryland - alleged biologics storage facility, Battel biological programs",Fort Detrick,UAPGerb Transcript 2025
uapgerb_doug_wolfe,Doug Wolfe,Doug Wolfe,Individual,"Former CIA Associate Deputy Director of Science and Technology, CIO (2013-2016), served 16 years with CIA component in NRO (1984-2000), Deputy Director of OGA, Deputy Director of DDNI ATNF. Total 33 years at CIA. Verified: PSCouncil.org, Potomac Institute, TransUnion, ACG",Doug Wolfe,UAPGerb Transcript 2025
uapgerb_glenn_gaffney,Glenn Gaffney,Glenn Gaffney,Individual,"Former Director of Science and Technology at CIA, Deputy Director of National Intelligence for Collection, Associate Director of CIA for Talent. Reports suggest may have blocked Kona Blue material transfer (unverified/contested). Verified: NobleReach Foundation, LittleSis, Liberation Times",Glenn Gaffney,UAPGerb Transcript 2025
uapgerb_donald_kerr,Donald Kerr,Donald Kerr,Individual,"Former Director of NRO (2005-2007), Director of Los Alamos (1979-1985), Deputy Director for Science and Technology at CIA (2001-2005), President and Director of EG&G (1989-1992), Chairman of MITRE Board of Trustees (2018-2021). Verified: Wikipedia, GovInfo.gov, MITRE Corporation",Donald Kerr,UAPGerb Transcript 2025
uapgerb_sean_kirkpatrick,Sean Kirkpatrick,Sean Kirkpatrick,Individual,"Former AARO Director (July 2022 - December 2023), Chief Technology Officer for Defense and Intelligence Programs at Oak Ridge National Laboratory (December 2023 - present). Verified: Wikipedia, ExecutiveGov, DoD, Oak Ridge National Laboratory",Sean Kirkpatrick,UAPGerb Transcript 2025
uapgerb_paul_kaminsky,Paul Kaminsky,Paul Kaminsky,Individual,"Former Director of OUSD, permanent SAPO oversight committee member, Board of Trustee for MITER Corporation",Paul Kaminsky,UAPGerb Transcript 2025
